Age,EnvironmentSatisfaction,JobInvolvement,JobLevel,JobSatisfaction,MaritalStatus,MonthlyIncome,TotalWorkingYears,YearsInCurrentRole,C0,C1,Attrition
50,4,3,4,4,0,0.8642691415313225,32,4,21.80432791423945,5.633516094915834,0
36,2,3,2,2,0,0.20734022358152288,7,2,-5.142814642335345,-3.0648590336267088,0
21,2,3,1,2,2,0.088061590381776,1,0,-20.647362253612272,1.4605213940444628,1
52,2,3,3,2,2,0.49757435140265766,18,6,14.526880350260704,-4.105516394702098,0
33,2,3,3,3,1,0.6644695211980595,15,6,-1.7735157753203907,5.8103369898674675,1
47,3,2,3,2,0,0.49166842438304154,28,11,17.708124970482928,7.66371237226477,0
22,4,2,2,4,1,0.19858679603459187,4,2,-17.672823567662903,3.7169027632802383,0
33,3,3,2,4,0,0.22985657034380932,7,5,-7.071872803614983,0.03798580759427317,0
40,3,2,3,4,1,0.5191942628137524,15,11,4.098559940547858,3.4813076394485307,0
27,4,1,2,4,2,0.2141953174435773,8,2,-11.335709182365655,3.2341684482902213,0
40,1,3,1,4,1,0.07366589327146171,8,0,-1.7780420931702352,-5.800423864836626,0
55,4,3,3,2,1,0.5255747732545877,23,2,19.53365703257532,-4.336203958815593,0
33,1,2,1,2,2,0.06876186458553048,5,2,-8.771894157868203,-2.575213461353746,1
37,1,2,3,3,1,0.5062223159670955,17,1,1.9579077747319857,2.5941814599641724,1
46,4,2,5,2,1,0.9375659143640582,26,4,15.007324783513859,4.269805077040232,0
38,3,3,2,2,1,0.4701012444631934,10,8,-1.0245952613654765,0.1127390683733065,0
30,1,2,2,4,1,0.19078253533009915,10,2,-7.774530692818534,2.6854962606463477,0
36,4,1,2,4,0,0.23186036701117907,15,12,1.111710944164372,6.311561525045828,0
40,2,3,5,2,2,0.9926175912254799,21,8,7.7301189378611355,6.367973745050469,0
53,3,3,4,3,0,0.7299620333263025,22,13,18.72426724399257,0.8530760304176557,0
32,4,3,2,2,0,0.2352351824509597,10,5,-5.9154019482629145,2.6287715955498854,0
55,4,3,2,3,1,0.15956549251212823,4,2,7.322935728956416,-16.940233548075675,0
30,3,1,2,4,2,0.2679814385150812,11,4,-6.914240657159386,4.160199329099223,0
23,3,4,1,1,1,0.031217042817970893,1,0,-19.13033182878413,0.18998173509502259,1
51,2,2,2,3,1,0.2701434296561907,10,0,7.900924028177414,-11.277184537253996,0
42,4,2,2,4,1,0.2664522252689306,8,3,0.1470754053109431,-5.748274267626668,0
20,4,3,1,3,2,0.0,1,0,-21.410420872899387,2.0734756187184207,1
29,2,1,1,4,1,0.06111579835477747,6,4,-10.931126418983428,1.4143938835672358,0
43,1,2,4,2,0,0.702752583843071,25,10,12.724197502802994,7.878713294665108,0
40,3,2,2,4,1,0.1799725796245518,16,1,3.512816718722668,-0.039674467033540495,0
29,2,3,1,4,1,0.11189622442522675,10,8,-7.91427448362337,5.6662141023718515,0
44,3,3,1,2,0,0.07029107783168108,6,3,0.31933273739242196,-8.40946274246829,1
47,1,3,4,3,1,0.8521408985446108,26,17,17.19596898742278,8.892939776049808,0
32,1,3,2,4,1,0.22674541236026155,10,8,-5.5685697430603724,3.879669471120545,0
38,3,3,1,1,2,0.08489770090698165,8,0,-3.301971497529429,-4.571017542395472,0
58,4,1,2,3,0,0.24525416578780848,12,3,14.824735322019116,-13.112360568175033,0
